timestamp,open,high,low,close,volume
2013-06-28,302.4999,308.2999,274.4999,291.3999,4741822
2013-05-31,306.9999,332.1999,294.7999,300.5499,6149723
2013-04-30,290.6999,324.2499,266.9499,318.7499,8031640
2013-03-28,323.5499,326.9999,275.5499,291.7998,13578218
2013-02-28,338.3998,347.1999,291.6499,323.5499,9706995
2013-01-31,317.7999,370.3999,317.4998,339.3999,15278183
2012-12-31,335.9998,339.9999,299.0999,316.7999,6288949
2012-11-30,269.4999,340.9499,267.5499,337.1499,14587920
2012-10-31,265.4999,276.3999,256.6499,268.9999,6333649
2012-09-28,246.9999,282.9999,241.4499,264.8499,17393051
2012-08-31,302.4999,302.9999,238.5000,245.7000,24872748
2012-07-31,306.2999,328.8499,297.9999,300.1499,6072201
2012-06-29,299.9999,316.8999,285.4999,304.9998,4859400
2012-05-31,313.2999,319.8998,280.0999,302.0999,5923957
2012-04-30,337.2499,343.9999,289.0499,310.2998,7032321
2012-03-30,349.3999,354.5999,321.0499,336.7499,7526296
2012-02-29,360.0999,400.8999,333.9999,349.2499,19831686
2012-01-31,345.9999,375.9499,320.5499,364.8999,6085485
2011-12-30,389.9499,397.9998,319.4999,342.8999,10616634
2011-11-30,389.8999,412.2499,354.9498,385.2999,11164439
2011-10-31,374.7999,408.7498,343.7499,391.3999,5726478
2011-09-30,413.9998,416.9999,360.9998,378.0999,5281429
2011-08-30,442.9999,444.6999,377.5498,404.1998,8639317
2011-07-29,395.9998,439.1998,378.2498,436.9999,19001428
2011-06-30,375.9999,404.8998,368.2499,395.2499,10553990
2011-05-31,378.9998,400.0998,345.2499,374.1498,23428966
2011-04-29,355.9999,389.9998,345.4999,378.7999,6974367
2011-03-31,331.5999,363.9999,308.9999,357.4999,7832203
2011-02-28,322.9999,344.7999,304.2499,331.0999,11687837
2011-01-31,358.3999,364.8999,311.9999,318.5499,5655474
2010-12-31,355.4999,359.4998,322.1499,358.3999,8822315
2010-11-30,329.4998,362.6999,303.9999,360.3999,19106553
2010-10-29,365.9998,368.7999,318.9999,325.6999,13872391
2010-09-30,328.4999,376.4999,328.4999,365.8999,16411171
2010-08-31,307.0999,335.5999,307.0999,327.1499,14589158
2010-07-30,262.9999,324.9999,261.9999,306.8999,35939320
2010-06-30,262.9999,288.1998,253.9999,263.2499,31601064
2010-05-31,297.4999,299.9999,254.1499,262.2999,25329921
2010-04-30,314.9999,325.2999,291.9999,298.3999,16857530
2010-03-31,281.5999,320.9999,279.9999,311.8999,23143320
2010-02-26,305.4998,323.7999,269.6499,279.2499,33384446
2010-01-29,329.9998,349.7999,304.6499,306.4999,18272452
2009-12-31,301.9999,348.7999,299.9999,328.7998,37886026
2009-11-30,284.9999,325.4499,229.4999,299.6999,46191683
2009-10-30,434.9998,466.9999,290.2999,292.1499,96247373
2009-09-30,428.9998,452.9998,395.0998,418.5498,25068544
2009-08-31,410.5499,438.9998,360.0999,424.6999,29730314
2009-07-31,800.3497,863.9997,404.2498,410.5499,21938599
2009-06-30,920.9996,920.9996,740.9998,802.0997,37266337
2009-05-29,759.9997,989.9996,738.6996,819.6497,39967470
2009-04-29,625.7998,759.5997,594.2997,749.2997,20281281
2009-03-31,624.9998,636.9997,543.9998,625.7998,38598191
2009-02-27,626.9998,678.3997,606.9997,636.6498,16346951
2009-01-30,719.6997,724.9997,575.9997,633.8498,36804859
2008-12-31,674.9997,756.4998,629.9998,715.0997,33366134
2008-11-28,674.9997,740.1498,575.9498,671.0498,39123489
2008-10-31,786.9997,805.9997,483.9998,648.9997,48610385
2008-09-30,829.9997,839.7496,699.9997,785.0496,67538699
2008-08-29,788.7997,886.2998,777.0997,837.1997,43336276
2008-07-31,721.9998,860.9997,687.9997,799.1497,42081431
2008-06-30,887.9997,887.9997,717.1997,721.6498,31900044
2008-05-30,913.9996,919.8997,797.9997,876.4497,35525323
2008-04-30,832.0497,949.9996,777.0997,898.7997,27199395
2008-03-31,838.9997,845.5497,706.7998,826.0997,16617709
2008-02-29,870.0996,945.7996,801.7997,825.5997,12233797
2008-01-31,967.5496,984.8996,699.9997,864.4497,32366955
2007-12-31,949.9996,1062.9996,893.9997,994.5496,17840773
2007-11-30,1019.9996,1024.9996,828.4996,939.4497,33319002
2007-10-31,954.9997,1148.9995,901.1497,1006.5996,33582052
2007-09-28,881.9997,984.9997,807.9997,941.1996,9618372
2007-08-31,897.9997,903.4496,750.1997,879.8997,11966666
2007-07-31,834.9997,959.9998,834.9997,903.4496,13889484
2007-06-29,848.9998,858.8997,789.9997,835.9497,6098115
2007-05-31,824.9997,867.9997,771.9998,847.7998,10587853
2007-04-30,728.0996,898.9997,725.9998,812.0498,10462745
2007-03-30,721.0497,796.9997,670.9998,763.1996,15004437
2007-02-28,715.4998,849.9998,661.2497,718.7497,14474984
2007-01-31,634.9997,735.1498,543.5998,707.4998,8438148
2006-12-29,634.9997,651.8997,559.9998,628.8497,9193602
2006-11-30,531.9998,644.8998,527.9998,630.1998,11779992
2006-10-31,474.8998,545.5999,455.0998,530.1498,7819662
2006-09-29,411.4999,483.9498,409.9998,468.8498,13582445
2006-08-31,392.8999,430.9998,376.9999,410.9999,10283190
2006-07-31,369.9998,399.9998,346.0998,382.8498,12846702
2006-06-30,374.9999,381.8998,310.1998,369.9998,11348352
2006-05-31,412.9999,432.4999,345.0498,365.9499,9365383
2006-04-28,419.9998,424.9999,376.9999,405.8498,8462362
2006-03-31,356.9999,429.8998,356.9999,412.8498,12560844
2006-02-28,375.5999,377.9999,349.0000,361.2999,8070098
2006-01-31,348.8999,363.7499,322.9998,355.5999,11211434
2005-12-30,359.4998,367.9999,326.9999,345.6999,19028761
2005-11-30,326.8999,376.9999,320.1498,357.5498,12182079
2005-10-31,351.9998,351.9998,305.2498,322.6498,23095146
2005-09-30,318.9498,366.6998,314.4999,348.4998,17601150
2005-08-31,279.9999,324.5000,279.8999,315.4499,27525280
2005-07-29,243.9999,287.1999,237.0499,283.0999,24907017
2005-06-30,221.4999,246.9999,217.9999,242.8500,27820356
2005-05-31,211.9998,229.9499,205.5999,224.0498,10063949
2005-04-29,210.0000,219.3999,192.4500,207.1499,11095766
2005-03-31,224.9999,240.6999,195.7999,206.8499,285350673
2005-02-28,230.9999,232.7000,202.5000,225.1000,220710422
